WMO_INDEX,GSOD,GHCN,MAKT
01001,010010-99999,JNM00001001,Yes
01008,010080-99999,SV000001008,Yes
01010,010100-99999,,Yes
01015,010150-99999,NOE00134886,Yes
01023,010230-99999,,Yes
01025,010250-99999,NOE00134898,Yes
01026,010260-99999,NO000001026,Yes
01028,010280-99999,NO000099710,Yes
01033,010330-99999,,Yes
01045,010450-99999,,Yes
01046,010460-99999,,Yes
01047,010470-99999,,Yes
01049,010490-99999,,Yes
01052,010520-99999,,Yes
01055,010550-99999,,Yes
01057,010570-99999,,Yes
01058,010580-99999,,Yes
01059,010590-99999,,Yes
01062,010620-99999,,Yes
01065,010650-99999,NO000097250,Yes
01075,010750-99999,,Yes
01078,010780-99999,,Yes
01089,010890-99999,,Yes
01092,010920-99999,,Yes
01098,010980-99999,NO000098550,Yes
01113,011130-99999,NO000080700,
01115,011150-99999,,Yes
01121,011210-99999,,Yes
01124,011240-99999,,Yes
01147,011470-99999,,Yes
01152,011520-99999,NO000011520,Yes
01156,011560-99999,,Yes
01160,011600-99999,,Yes
01167,011670-99999,,Yes
01199,011990-99999,,Yes
01205,012050-99999,,Yes
01207,012070-99999,,Yes
01210,012100-99999,,Yes
01212,012120-99999,NO000001212,Yes
01218,012180-99999,,Yes
01228,012280-99999,,Yes
01233,012330-99999,NOM00001233,Yes
01238,012380-99999,NOM00001238,Yes
01241,012410-99999,NOE00109604,Yes
01259,012590-99999,,Yes
01262,012620-99999,,Yes
01271,012710-99999,NOE00112071,Yes
01273,012730-99999,,Yes
01288,012880-99999,,Yes
01293,012930-99999,,Yes
01304,013040-99999,,Yes
01307,013070-99999,,Yes
01311,013110-99999,,Yes
01317,013170-99999,NO000050540,Yes
01319,013190-99999,,Yes
01322,013220-99999,,Yes
01327,013270-99999,,Yes
01332,013320-99999,,Yes
01337,013370-99999,,Yes
01355,013550-99999,,Yes
01359,013590-99999,,Yes
01360,013600-99999,,Yes
01370,013700-99999,,Yes
01373,013730-99999,NOE00105503,Yes
01374,013740-99999,,Yes
01378,013780-99999,,Yes
01384,013840-99999,NOE00109514,Yes
01392,013920-99999,,Yes
01393,013930-99999,,Yes
01403,014030-99999,NO000014030,Yes
01406,014060-99999,,Yes
01412,014120-99999,,Yes
01415,014150-99999,NOE00109680,Yes
01417,014170-99999,,Yes
01422,014220-99999,,Yes
01424,014240-99999,,Yes
01425,014250-99999,,Yes
01427,014270-99999,,Yes
01436,014360-99999,,Yes
01442,014420-99999,,Yes
01448,014480-99999,,Yes
01450,014500-99999,,Yes
01452,014520-99999,,Yes
01455,014550-99999,,Yes
01459,,,Yes
01463,014630-99999,,Yes
01465,014650-99999,NO000001465,Yes
01467,014670-99999,,Yes
01468,014680-99999,,Yes
01470,014700-99999,,Yes
01473,014730-99999,,Yes
01476,014760-99999,,Yes
01482,014820-99999,,Yes
01486,014860-99999,,Yes
01488,014880-99999,,Yes
01490,014900-99999,,Yes
01492,014920-99999,NOM00001492,Yes
01494,014940-99999,,Yes
02080,020800-99999,SWM00002080,Yes
02120,021200-99999,SW000002120,Yes
02196,021960-99999,SW000002196,Yes
02226,022260-99999,SWE00100026,Yes
02343,023430-99999,,Yes
02361,,SW000002361,
02366,023660-99999,SWE00115961,Yes
02382,023820-99999,,Yes
02410,024100-99999,SW000002410,
02418,024180-99999,SW000024180,Yes
02433,,SW000010537,
02485,024850-99999,SWM00002485,Yes
02550,025500-99999,SW000002550,Yes
02562,025620-99999,SW000008525,Yes
02589,025890-99999,SWM00002589,Yes
02590,025900-99999,SW000002590,Yes
02836,028360-99999,FI000007501,Yes
02869,028690-99999,FIE00146062,Yes
02875,028750-99999,FIE00145622,
02897,028970-99999,FIE00145377,Yes
02911,029110-99999,FIE00144212,
02929,029290-99999,FIE00144877,Yes
02935,029350-99999,FI000002401,Yes
02958,029580-99999,FIE00143231,Yes
02963,029630-99999,FI000002963,Yes
02972,029720-99999,FIE00142511,
02974,029740-99999,FIE00142080,Yes
03005,030050-99999,UK000003005,Yes
03017,030170-99999,UKM00003017,Yes
03026,030260-99999,UK000003026,Yes
03075,030750-99999,UK000070765,Yes
03091,030910-99999,UKM00003091,Yes
03100,031000-99999,UKM00003100,Yes
03135,031350-99999,,
03162,031620-99999,UK000003162,Yes
03171,031710-99999,UKM00003171,Yes
03301,033010-99999,,Yes
03302,033020-99999,UK000003302,Yes
03340,033400-99999,,
03377,033770-99999,UK000003377,Yes
03379,033790-99999,,Yes
03391,033910-99999,,Yes
03414,034140-99999,UKM00003414,Yes
03482,034820-99999,,Yes
03502,035020-99999,UKM00003502,Yes
03772,037720-99999,UKM00003772,Yes
03797,037970-99999,UKW00035047,Yes
03862,038620-99999,UKM00003862,Yes
03894,038940-99999,,Yes
03917,039170-99999,UKM00003917,Yes
03953,039530-99999,EI000003953,Yes
03955,039550-99999,EIM00003955,Yes
03962,039620-99999,EIM00003962,Yes
03967,039670-99999,EIM00003967,Yes
03969,039690-99999,EI000003969,Yes
03973,039730-99999,EIM00003973,Yes
03976,039760-99999,EIM00003976,Yes
03980,039800-99999,EI000003980,Yes
04013,040130-99999,IC000004013,Yes
04018,,ICW00016201,Yes
04030,040300-99999,IC000004030,Yes
04048,040480-99999,IC000004048,Yes
04063,040630-99999,IC000004063,Yes
04064,040640-99999,,Yes
04077,040770-99999,,Yes
04082,040820-99999,ICM00004082,Yes
04175,041750-99999,,Yes
04197,041970-99999,IC000004097,Yes
04202,042020-99999,GLW00017605,
04203,042030-99999,,Yes
04205,042050-99999,,Yes
04220,042200-99999,GLM00004220,Yes
04231,042310-99999,,Yes
04250,042500-99999,GL000004250,Yes
04270,042700-99999,,Yes
04272,042720-99999,,Yes
04320,043200-99999,GL000004320,Yes
04330,043300-99999,,Yes
04339,043390-99999,GLE00147481,Yes
04360,043600-99999,GL000004360,Yes
04361,043610-99999,,Yes
04382,043820-99999,,Yes
